DateTime,AddedIPs,RemovedIPs
1597208522,6,10
1597209721,1,0
1597210921,8,1
1597211521,2,2
1597212121,8,1
1597213321,5,0
1597213921,1,2
1597215121,3,8
1597215721,3,0
1597216921,1,8
1597218121,2,5
1597219322,1,1
1597220522,5,0
1597221721,3,5
1597222321,2,4
1597222921,2,6
1597223521,1,0
1597224121,2,7
1597224721,4,0
1597225321,3,9
1597226521,3,1
1597227121,2,1
1597227721,3,0
1597228321,3,16
1597228921,2,4
1597229521,0,7
1597230122,3,0
1597231321,4,3
1597231921,5,0
1597233121,2,6
1597233722,10,0
1597234321,4,0
1597234921,5,14
1597235521,2,0
1597236121,1,0
1597237322,2,1
1597237921,2,2
1597238522,4,4
1597239721,3,0
1597240321,7,3
1597240921,3,0
1597241521,3,9
1597242121,13,0
1597242721,7,3
1597243921,4,2
1597245121,2,3
1597245722,2,0
1597246921,4,4
1597247522,3,9
1597248121,4,3
1597248722,4,2
1597249321,4,5
1597250521,3,2
1597251121,1,1
1597252321,2,0
1597252922,2,3
1597253521,4,1
1597254721,2,0
1597255321,4,3
1597255921,7,3
1597256521,6,5
1597257121,7,0
1597257721,9,0
1597258921,4,19
1597260121,3,8
1597261321,3,5
1597261921,3,4
1597262521,8,7
1597263721,7,0
1597264321,4,5
1597265521,4,3
1597266121,2,2
1597267321,1,2
1597268521,1,7
1597269722,2,0
1597270921,2,4
1597272122,5,4
1597273322,7,6
1597273921,3,8
1597275121,1,8
1597275721,4,0
1597276321,3,1
1597276921,3,0
1597278122,4,15
1597279321,1,5
1597280521,1,0
1597281721,3,20
1597282922,1,2
1597284121,4,2
1597285321,5,1
1597285921,6,6
1597287121,4,0
1597287722,4,0
1597288922,4,4
1597290121,2,5
1597291322,4,3
1597292522,4,16
1597293722,6,0
1597294321,3,6
1597294921,5,5
1597296121,2,2
1597296721,3,0
1597297321,1,0
1597298522,3,4
1597299121,6,2
1597300321,3,8
1597301522,4,5
1597303321,2,1
1597303921,1,0
1597305122,3,5
1597305721,4,1
1597306321,3,0
1597307521,4,2
1597308121,3,0
1597309321,4,23
1597310521,1,2
1597311721,2,16
1597312321,2,4
1597312922,3,0
1597314121,1,7
1597315321,2,3
1597315922,5,3
1597316521,9,0
1597317121,4,1
1597317721,2,4
1597318322,1,4
1597319521,4,3
1597320122,8,0
1597321322,3,2
1597321921,2,1
1597322522,9,1
1597323721,1,0
1597324321,3,2
1597324921,6,2
1597325521,4,9
1597326721,0,2
1597327321,1,0
1597328521,5,16
1597329121,6,0
1597329721,3,0
1597330921,0,2
1597332121,2,0
1597332721,2,5
1597333322,1,3
1597334521,4,5
1597335722,2,22
1597336922,2,2
1597337521,6,4
1597338722,9,5
1597339321,5,7
1597340521,5,0
1597341721,1,2
1597342921,3,5
1597344121,7,3
1597344722,7,0
1597346521,2,4
1597347121,4,5
1597347721,2,0
1597348921,5,34
1597350122,2,0
1597351322,2,7
1597352521,2,5
1597353721,6,14
1597354921,5,5
1597356121,2,1
1597356721,2,12
1597357921,5,0
1597359721,1,2
1597360921,3,17
1597361521,8,0
1597362122,4,0
1597362722,2,26
1597363322,4,6
1597364521,6,2
1597365721,2,0
1597366921,2,22
1597367521,1,0
1597368121,26,0
1597369321,1,1
1597370521,8,6
1597371721,3,2
1597372921,2,7
1597374121,5,1
1597375321,3,4
1597375922,5,0
1597377121,1,6
1597377721,3,0
1597378922,0,1
1597379521,1,23
1597380721,2,4
1597381321,3,0
1597381921,33,3
1597383121,0,4
1597384322,2,2
1597384921,3,7
1597386722,2,8
1597387921,2,3
1597388522,7,0
1597389722,2,11
1597391522,4,5
1597392121,4,0
1597392721,2,10
1597394521,3,3
1597395721,10,4
1597396921,4,9
1597397521,1,4
1597398122,1,0
1597398721,4,3
1597400522,1,1
