DateTime,AddedIPs,RemovedIPs
1596659524,20,17
1596661694,22,7
1596663607,15,15
1596665560,15,21
1596667445,14,16
1596669368,18,19
1596671319,8,10
1596673204,18,14
1596675125,19,13
1596677076,15,17
1596678967,17,22
1596680885,8,14
1596682840,16,13
1596684724,12,19
1596686647,12,21
1596688599,5,17
1596690486,18,20
1596694356,19,42
1596696248,5,24
1596698169,11,25
1596700117,11,32
1596702006,10,20
1596703927,8,7
1596705879,13,28
1596707770,9,23
1596709687,6,24
1596711638,11,20
1596713526,8,13
1596717396,12,39
1596719294,11,21
1596721239,16,22
1596723132,3,15
1596725049,8,10
1596726977,21,18
1596728896,7,7
1596730834,25,15
1596732730,22,10
1596736595,25,19
1596738487,10,6
1596740440,20,16
1596744247,16,22
1596746204,23,8
1596748115,25,16
1596750007,22,22
1596751932,21,24
1596753874,7,19
1596755768,18,22
1596757688,15,24
1596759632,18,19
1596761525,22,18
1596765393,19,39
1596767289,15,24
1596771157,24,40
1596773051,28,0
1596774994,25,22
1596776911,16,27
1596778810,25,16
1596780763,26,22
1596782650,19,25
1596784567,20,16
1596788409,7,29
1596790327,12,8
1596792275,12,8
1596794193,17,0
1596796097,21,12
1596798045,10,15
1596799933,21,23
1596802101,5,19
1596804038,22,15
1596805929,25,17
1596807880,20,18
1596809780,22,20
1596811693,26,12
1596813634,24,0
1596815535,17,8
1596817447,27,11
1596819398,18,13
1596821286,19,8
1596823219,26,6
1596825154,18,19
1596827055,20,16
1596828967,21,0
1596830916,23,11
1596832806,21,21
1596834727,25,21
1596836691,22,0
1596838600,12,23
1596842406,23,30
1596844325,25,22
1596846275,24,20
1596848166,21,21
1596850085,21,17
1596852036,25,0
1596853932,25,17
1596855848,19,15
1596859687,23,23
1596861612,16,13
1596863555,19,16
1596865450,22,10
1596867369,19,15
1596869316,13,11
1596871204,17,9
1596873125,13,6
1596875077,7,7
1596876969,15,15
1596878929,13,12
1596880851,25,17
1596882726,10,6
1596884652,22,11
1596886595,14,10
1596888490,25,0
1596890406,21,14
1596892358,28,24
1596894253,16,14
1596896170,9,2
1596898117,12,11
1596900032,12,0
1596901929,17,17
1596903890,13,13
1596905767,30,0
1596907686,16,23
1596909635,15,14
1596911524,18,0
1596913701,10,25
1596915610,12,10
1596919448,24,34
1596921384,14,19
1596923317,10,9
1596925209,14,0
1596930966,13,0
1596933131,16,33
1596935049,16,15
1596936994,19,19
1596938894,14,15
1596940811,24,22
1596942758,17,0
1596944649,14,19
1596946571,17,24
1596948517,23,0
1596950410,15,16
1596952328,18,17
1596954279,9,14
1596956170,19,15
1596958089,10,13
1596960040,17,18
1596961931,18,11
1596965794,10,26
1596967691,13,19
1596969608,13,9
1596971559,11,12
1596973447,8,3
1596975369,15,19
1596977316,14,7
1596979206,15,21
1596981127,15,25
1596983077,8,7
1596984967,21,19
1596986889,23,24
1596988842,23,25
1596990729,18,18
1596992653,29,25
1596994595,21,18
1596996489,20,19
1596998412,14,12
1597002249,14,21
1597004169,12,0
1597006120,15,7
1597008006,13,14
1597009929,19,13
1597013772,20,40
1597015685,22,0
1597017641,16,9
1597019529,24,12
1597021695,18,8
1597023610,15,19
1597025558,13,16
1597027450,25,14
1597029370,14,26
1597031323,17,13
1597033207,19,25
1597035127,29,0
1597037122,18,22
1597038967,19,16
1597040886,17,24
1597042843,19,20
1597044728,12,19
1597046652,12,14
1597048593,13,14
1597050497,16,18
1597052416,9,21
1597054357,24,22
1597056249,25,16
1597058170,13,17
1597060121,17,13
1597062016,16,20
1597063929,22,13
1597065878,20,0
1597067770,19,6
1597069685,10,10
1597071634,28,19
1597073655,24,19
1597075715,16,19
1597077610,20,17
1597079525,11,22
1597081475,18,11
1597083369,19,13
1597085289,14,18
1597089125,18,44
1597091047,12,11
1597092993,20,20
1597094888,15,21
1597096814,16,7
1597098752,25,20
1597100654,17,11
1597104529,27,44
1597106406,23,12
1597108331,31,17
1597110272,19,10
1597112164,22,13
1597114084,21,8
1597116035,17,0
1597117926,19,23
1597119849,24,25
1597121791,20,12
1597123690,14,21
1597125635,26,14
1597128487,15,36
1597130434,23,23
1597132327,16,16
1597134248,11,22
1597136193,17,10
1597138091,22,18
1597140069,15,10
1597141958,17,11
1597143851,20,16
1597145771,18,4
1597147718,17,10
1597149606,22,0
1597151529,29,18
1597153474,17,35
1597155366,13,0
1597161124,20,49
1597163079,14,28
1597164966,11,0
1597166925,9,29
1597168896,18,28
1597170733,23,0
1597172656,18,24
1597174592,23,19
1597176491,18,24
1597178413,25,18
1597180354,24,13
1597182246,18,21
1597184165,21,9
1597189925,24,58
1597191876,16,24
1597193768,9,12
1597195685,20,20
1597197713,19,20
1597199528,11,18
1597203608,12,45
1597205555,17,27
1597207447,14,0
1597209368,20,9
1597211311,24,24
1597213239,12,14
1597215126,21,0
1597217074,9,17
1597220890,9,38
1597222841,11,0
1597224730,10,34
1597226892,15,0
1597228812,23,28
1597230762,19,16
1597233160,19,7
1597235051,15,0
1597236996,16,7
1597238886,21,19
1597240813,18,20
1597242753,4,6
1597244922,7,12
1597246818,13,0
1597249042,14,10
1597250930,11,10
1597252836,16,21
1597254771,17,21
1597256652,14,0
1597258595,19,26
1597260488,17,11
1597262416,22,0
1597264353,19,32
1597266260,23,0
1597268167,26,21
1597270132,22,13
1597272008,21,17
1597273931,16,11
1597275875,11,19
1597277775,21,7
1597279696,18,21
1597283527,25,37
1597285451,28,22
1597289285,28,19
1597291218,11,9
1597293153,18,15
1597295321,17,30
1597297206,17,0
1597299132,16,0
1597301080,20,24
1597302966,18,0
1597304886,20,15
1597306831,13,21
1597308724,12,0
1597310655,9,6
1597312593,19,20
1597314502,16,10
1597316408,6,0
1597318356,11,24
1597320247,15,0
1597322166,26,0
1597324112,22,23
1597326008,19,0
1597327930,4,15
1597329873,4,6
1597331783,7,25
1597335674,15,37
1597337527,11,0
1597339448,16,20
1597341393,29,0
1597343286,18,24
1597345217,13,8
1597347202,24,26
1597353407,22,60
1597355285,19,22
1597357234,19,20
1597359128,11,3
1597361079,18,15
1597362966,22,15
1597366848,15,39
1597368729,9,0
1597370648,17,20
1597372596,17,11
1597374497,14,0
1597376414,11,22
1597378353,11,29
1597380253,24,24
1597382166,13,17
1597384114,16,25
1597386040,18,20
1597387929,15,13
1597389878,12,19
1597391769,20,0
1597393689,13,9
1597395648,11,11
1597397532,15,9
1597399453,6,17
